,X,Y
1295,-15.266666667,13.466666667
1296,-16.0669444439999,13.230277778000099
1298,-15.416666667000001,13.533333333
1299,-15.4,13.5000000000001
1300,-14.766666667,13.533333333
1301,-14.916666667000001,13.716666667
1303,-16.033333332999998,13.533333333
1307,-15.3166666669999,13.533333333
1308,45.00000000000011,30.0000000000001
1309,46.7597222220001,31.666666667000104
1310,45.110833333000095,31.140833333000003
1311,45.110833333000095,31.334166666999998
1312,45.8080555560001,31.339722222
1315,-15.1,13.6666666670001
1317,-14.2499999999999,13.383333333000099
1318,-15.916666667000001,13.5000000000001
1319,-15.8,13.566666667
1324,-15.3333333329999,13.65
1325,-16.4999999999999,13.5000000000001
1328,-15.2499999999999,13.8666666670001
1329,-14.183333333,13.466666667
1330,-9.116666666999949,12.316666667
1331,-12.616666666999901,12.0000000000001
1332,38.833333333,17.5000000000001
1333,-9.133333332999939,12.033333333
1334,-9.14999999999998,11.9833333330001
1335,-9.19999999999993,12.083333332999999
1336,9.75000000000006,10.65
1338,38.6666666670001,17.0000000000001
1340,40.024166666999996,13.8647222220001
1341,39.514722221999996,13.2472222220001
1342,38.260277778,15.4797222220001
1346,9.33333333300004,36.1000000000001
1347,37.4333333330001,18.216666667000002
1348,35.9,20.966666667000002
1354,-5.04999999999995,31.766666667
1356,-4.75999999999993,34.8100000000001
1358,-6.07999999999993,30.7400000000001
1362,9.23194444400002,35.513888889
1363,24.6,12.2500000000001
1364,7.933333333000059,34.316666667
1365,10.886111110999998,35.653055556
1366,9.979722222000019,36.9469444440001
1367,9.97500000000002,36.6058333330001
1375,9.116666667000061,36.6000000000001
1376,8.840555556000028,36.649722222
1377,8.977500000000019,36.896944444
1379,10.778611110999998,33.324166667
1381,10.774166667000001,34.950277778
1382,9.381388889000052,37.0505555560001
1383,10.35,33.6666666670001
1384,10.066666667,33.9333333330001
1387,8.56666666700005,34.95
1388,8.75000000000006,34.2500000000001
1389,27.95,14.2333333330001
1391,23.583333333000002,17.466666667000002
1392,9.67694444400007,35.635
1393,10.586111111000001,34.707777778
1396,9.68333333300006,36.983333333000104
1400,8.35611111100008,36.224722222
1401,8.920000000000071,36.265
